BENIDORM CHESS OPEN “B” (U2000),,,,,,,,,
"Benidorm, Alicante, Spain, 2021-12-04 - 2021-12-12",,,,,,,,,
,,,,,,,,,
Ranking inicial   ,,,,,,,,,
Ran.,Tít.,Nombre,Fed.,FIDE,Nac.,FIDE ID,ID Nac.,Origen/Club,Info
1,,"Cluyts, Marc",BEL,1986,0,205257,0,,
2,,"Paricharak, Shardul",AHO,1980,0,7500432,0,,
3,,"Castro Quijano, Eduardo",ESP,1976,1979,24507407,29579,,
4,,"Mascarell Canet, Ricardo",ESP,1969,1963,2217074,2883,,
5,,"Dura Olmos, Gines Raul",ESP,1966,1978,2262010,14799,,
6,,"Mohorea, Vasile",ROU,1966,0,1212184,0,,
7,,Vignesh B,IND,1947,0,35051555,0,,
8,,"Holliman, Bob",USA,1946,0,2031752,0,,
9,,"Ehab, Mohamed",EGY,1945,0,10602003,0,,
10,,"Selva Salvador, Antonio",ESP,1940,1931,2223821,11994,,
11,,"Belova, Tatiana",RUS,1940,0,24150070,0,,
12,,"Estrada, Walter",COL,1928,0,4464966,0,,
13,,"Cuvelier, Annelies",BEL,1927,0,213950,0,,
14,,"Gutierrez Abarrategui, Luis",ESP,1927,0,32052855,2089,,
15,,"Hall, Rachid",ESP,1927,0,22224327,0,,
16,,"Mileo, Pierpaolo",ITA,1924,0,845272,0,,
17,,"Sempere Domenech, Abel",ESP,1923,0,24508470,29965,,
18,,"Perez Garcia, Jose Miguel",ESP,1914,1927,2227657,11732,,
19,,"Amoros Moran, Jose Joaquin",ESP,1912,1962,2270145,13239,,
20,,"Juarez Manzano, Juan",ESP,1906,0,2220660,3943,,
21,,"Fernandez Lopez, Francisco J.",ESP,1902,0,2212323,1044,,
22,,"Oreshkin, Vladislav",ESP,1900,1972,54535603,33974,,
23,,"Johansen, Lars",NOR,1896,0,1506455,0,,
24,,"Maresco, Diego",ITA,1896,0,2867171,0,,
25,,"Van Dijk, Erik",NED,1895,0,1058207,0,,
26,,"Hurtado Oldridge, Felipe",ESP,1894,0,2215055,2834,,
27,,"Camison Zornoza, Cesar",ESP,1892,0,24580376,34537,,
28,,"Saketh, Pedagandham",IND,1875,0,5042178,0,,
29,,"Hernandez Delgado, Gabriel",ESP,1873,0,2211734,359,,
30,,"Strugari, Vasile",ROU,1872,0,1227017,0,,
31,,"Post, Maarten",NED,1869,0,1025970,0,,
32,,"Tudela Gonzalez, Victor",ESP,1869,0,24528030,31867,,
33,,"Hassomal Daswani, Birjkumar",ESP,1863,1957,2224356,12646,,
34,,"Sanroman Costas, Mauro",ESP,1863,0,24595349,344410,,
35,,"Paricharak, Nakul",AHO,1862,0,7500173,0,,
36,,"Fichtinger, Leopold",AUT,1861,0,1619918,0,,
37,,"Rios Garcia, Miguel",ESP,1854,1801,2219000,11832,,
38,,"Torras Campdelacreu, Xavier",ESP,1843,1842,2268981,10640,,
39,,"Fernandez Garcia, Ignacio",ESP,1838,0,2226782,985,,
40,,"Spanton, Tim R",ENG,1829,0,404802,0,,
41,,"Kopischke, Maik",GER,1828,0,24628115,0,,
42,,"Perez de Sousa, Jose Manuel",ESP,1826,0,2248611,14644,,
43,,"Ilinca Ilinca, Felix Antonio",ESP,1813,0,54764998,39748,,
44,,"Garcia Bueno, Juan Pablo",ESP,1808,0,2213079,6453,,
45,,"Munoz Osete, Marcos",ESP,1795,0,54542987,34819,,
46,,"Garcia Esteban, Ignacio",ESP,1791,0,2208776,1270,,
47,,"Lobato Lavin, Alvaro",ESP,1789,0,2212005,2241,,
48,,"Gomez Alonso, Oscar",ESP,1788,0,54562880,35417,,
49,,"Minguela Munoz, Bienvenido",ESP,1785,0,2282143,13722,,
50,,"Pastor Marti, Jaume",ESP,1777,0,32015054,25468,,
51,,"Ballina Amandi, Casimiro",ESP,1774,0,2278723,1798,,
52,,Sasvatha A,IND,1773,0,45010862,0,,
53,,"Dyrnes, Jussi",NOR,1767,0,1508270,0,,
54,,"Fahmy, Mohamed Adel",EGY,1759,0,10607501,0,,
55,,"Nieto Lopez, Francisco Ramon",ESP,1757,0,2277646,13559,,
56,,"Bilbao Gaubeka, Jon",ESP,1756,0,24533513,32646,,
57,,"Planelles Ortega, Emilio",ESP,1756,0,2237750,11770,,
58,,"Ceinos Diez, Mariano",ESP,1753,0,54539005,5314,,
59,,"Aird, Ian",SCO,1750,0,2401347,0,,
60,,"Arnot, Bob",ESP,1749,0,2273551,12523,,
61,,"Perez Pascual, Arturo",ESP,1748,0,2253062,0,,
62,,"Elizondo Marquet, Juan Marcos",ESP,1745,0,2252236,12898,,
63,,"Martinez Carnicer, Eduardo",ESP,1742,0,2218372,3136,,
64,,"Espejo Montagut, Jose Maria",ESP,1735,0,2281619,5943,,
65,,"Grau Peris, Ruben",ESP,1727,0,2278936,3872,,
66,,Aadith R,IND,1726,0,35050362,0,,
67,,"Garcia Castilla, Manuel",ESP,1721,0,2285592,1169,,
68,,"Pedraza Fernandez, Miguel Angel",ESP,1721,0,2275376,1618,,
69,,"Mateev, Kaloyan Mateev",BUL,1720,0,2936690,0,,
70,,"Campos Busquiel, Alejandro",ESP,1718,0,2258552,14524,,
71,,"Gukasov, Artem",ESP,1718,0,24580112,36344,,
72,,"Albuixech Sanz, Jorge",ESP,1710,0,22218149,16173,,
73,,"Miosi, Francesco",ITA,1710,0,2835075,0,,
74,,"Zanfir, Iulian",ROU,1709,0,1239805,0,,
75,,"Todic, Simo",ITA,1705,0,837903,0,,
76,,"Beneyto De Ramon, Guillermo",ESP,1703,0,54533244,36729,,
77,,"Lopez Heras, Arturo",ESP,1698,0,2225433,438,,
78,,"Tomas Parra, Samuel",ESP,1692,0,24560332,31116,,
79,,"Ramos Garcia, Miguel",ESP,1691,1694,2262045,20629,,
80,,"Platero Manteca, Javier",ESP,1686,1691,2206838,2046,,
81,,"Gomez Maestro, Gustavo",ESP,1686,0,22276645,24103,,
82,,"Bergara Ede, Josu",ESP,1684,0,22287965,4714,,
83,,"Martinez Zazo, Jesus",ESP,1655,1707,2237695,3144,,
84,,"Morant Gomar, Sergio",ESP,1652,0,2253968,11596,,
85,,"Donazar Garayoa, Miguel",ESP,1651,0,2242761,16694,,
86,,"Grindbakken, Erik",NOR,1651,0,1526170,0,,
87,,"De Luna Butz, Alberto",ESP,1649,0,2269007,16160,,
88,,"Pelyushenko, Vladyslav",ITA,1640,0,805963,0,,
89,,"Bounehas, Halim",ALG,1633,0,7901208,0,,
90,,"Vemparala, Nikash",USA,1633,0,30960967,0,,
91,,"Voronaya, Eva",RUS,1625,0,34254978,0,,
92,,"Frias Catenas, Jose Luis",ESP,1624,0,22276483,25374,,
93,,"Mirza, Gabriel",IRL,1623,0,2503093,0,,
94,,"Cuyvers, Jens",BEL,1619,0,264121,0,,
95,,"Bandieramonte, Enrico",ITA,1610,0,865052,0,,
96,,"Garcia Yepes, Miguel Angel",ESP,1606,0,32015046,25388,,
97,,"Vigneshwaran, N.",IND,1593,0,5025567,0,,
98,,"Kearsley, Raymond J",ENG,1586,0,470562,0,,
99,,Arvind Ramnath Iyer,IND,1581,0,5062160,0,,
100,,"Talavera Moya, Salvador",ESP,1578,1969,22292616,26468,,
101,,"Bagci, Hikmet",TUR,1572,0,6305997,0,,
102,,"Romero Nieto, Hugo",ESP,1561,0,54775060,39980,,
103,,"Nieto Foresti, Julian",ESP,1560,2009,54509971,33595,,
104,,"Vinogradov, Sergey V.",RUS,1552,0,54194407,0,,
105,,Raghava Madhavan,IND,1546,0,25076060,0,,
106,,"Flo, Steinar",NOR,1544,0,1515730,0,,
107,,"Tuimil Martinez, Ricardo",ESP,1541,1952,2278103,3266,,
108,,"Pascual Fuertes, Jose Enrique",ESP,1538,0,2290979,8973,,
109,,Sarveshwaran V,IND,1536,0,25699016,0,,
110,,Swapna C N,IND,1536,0,45050449,0,,
111,,"Pedchenko, Serhiy",ESP,1535,0,24523330,0,,
112,,"Pedchenko, Serhiy",ESP,1535,0,24523330,0,,
113,,"Garcia Martin, Juan Manuel",ESP,1527,0,2221780,2829,,
114,,"Altin, Halis",TUR,1526,0,6309330,0,,
115,,"Mottang, Harald",NOR,1526,0,1508423,0,,
116,,Srihari N,IND,1523,0,5059984,0,,
117,,"Jensen, Michael Eckmann",NOR,1522,0,1518984,0,,
118,,"Fernandez Cabrero, Fernando",ESP,1520,0,32025971,0,,
119,,"Garcia Vives, Joan",ESP,1505,0,54703549,37509,,
120,,"Herce Jimenez, Angel",ESP,1505,0,32048815,26026,,
121,,"Agullo Valcarcel, Carlos",ESP,1500,0,2296128,13039,,
122,,"Berenguer Sanchis, Juan Vicente",ESP,1479,0,54562368,36730,,
123,,"Conde Negro, Francisco Javier",ESP,1467,0,2261790,5439,,
124,,"Verhoeven, Rudiger",ESP,1449,0,24563013,31192,,
125,,"Bravo Perez, Miguel",ESP,1447,0,24553557,30600,,
126,,"Castillo Hidalgo, Alejandro",ESP,1442,0,54587735,36557,,
127,,"Bozkurt, Celal",TUR,1439,0,44541147,0,,
128,,"Gonzalez Caceres, Lauren",ESP,1416,1972,54718228,37862,,
129,,"Nardi, Hector",ARG,1407,0,131318,0,,
130,,"Valenzuela Garcia, Alberto",ESP,1407,0,2245213,24681,,
131,,"Macia Senent, Joaquin",ESP,1394,0,22273042,12675,,
132,,"Morata Perez, Jose",ESP,1393,0,24521612,30727,,
133,,"Marin Giner, Gustavo",ESP,1375,0,54745411,39870,,
134,,"Rodriguez Manyas, Miguel",ESP,1368,0,24508500,29035,,
135,,"Albuixech Soler, Sergi",ESP,1367,0,24522678,30574,,
136,,"Ilinca Ilinca, Filip Antonio",ESP,1362,0,54775167,40198,,
137,,"Staneke, Ronald",ESP,1336,0,54524865,33764,,
138,,"Nuevo Cabezas, Antonio",ESP,1314,0,24523879,30221,,
139,,"Dogan, Halit",TUR,1311,0,6349722,0,,
140,,"Mateeva, Yana",BUL,1266,0,2935600,0,,
141,,"Martinez Herranz, Francisco Jose",ESP,1261,0,24598143,32842,,
142,,"Mas Ripoll, Vicente",ESP,1238,0,24595829,32718,,
143,,"Hladiy, Mark",ESP,1236,0,54705380,37141,,
144,,"Jaglinski, Aleksander",ESP,1157,0,54586674,39724,,
145,,"Galletero Monsalve, Juan Fco",ESP,1152,0,22281398,27844,,
146,,"Llopis Cano, Marilo",ESP,1133,0,32099029,30072,,
147,,"Polikarpov, Anton",RUS,1105,0,24296562,0,,
148,,"Calabuig Negre, Rafael",ESP,1050,0,24555088,34861,,
149,,Akshobhya Damodar Katti,IND,0,0,33378703,0,,
150,,"Alieksieiev, Oleksii",UKR,0,0,34613846,0,,
151,,"Becares Rodriguez, Antonio",ESP,0,0,9999999,0,,
152,,"Davison, Zachary",ESP,0,0,9999998,0,,
153,,"Galantino, Federica",ESP,0,0,54788226,0,,
154,,"Maiza, Gabi",ESP,0,0,9999997,0,,
155,,"Navarro Juan, Isaac",ESP,0,0,54785057,0,,
156,,"Nechifor, David",ESP,0,0,54788455,0,,
157,,"Perez Solanas, Hugo",ESP,0,0,54783526,0,,
158,,"Rico Garcia, Carlos",ESP,0,0,24515132,0,,
159,,"Sirtautas, Indrius",LTU,0,0,12818259,0,,
160,,"Tutkus, Lukas",LTU,0,0,12823848,0,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BENIDORM CHESS OPEN “B” (U2000) - https://info64.org/benidorm-chess-open-b-u2000,,,,,,,,,
